Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,1.0,1814.5280000000002,0.01824278198182583,115.0,451.45281982421875,Supplier-A,10600.0,47545.28
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,1.0,1814.5280000000002,0.01824278198182583,115.0,451.45281982421875,Supplier-C,10600.0,71617.92
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.9,1633.0750615625,0.022521954029798508,177.72589111328125,639.6304321289062,Supplier-A,16245.4,68545.28
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.9,1633.0750615625,0.022521954029798508,177.72589111328125,639.6304321289062,Supplier-C,16245.4,102817.92
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.8,1451.622676875,0.02850434184074402,240.45172119140625,827.8079223632812,Supplier-A,21890.7,88945.28
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.8,1451.622676875,0.02850434184074402,240.45172119140625,827.8079223632812,Supplier-C,21890.7,134017.92
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.7,1270.169323125,0.03723016753792763,303.17767333984375,1015.9859008789062,Supplier-A,27536.0,109945.27
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.7,1270.169323125,0.03723016753792763,303.17767333984375,1015.9859008789062,Supplier-C,27536.0,165217.92
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.6,1088.7166615625,0.05067439004778862,365.903564453125,1204.1634521484375,Supplier-A,33181.4,130345.27
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.6,1088.7166615625,0.05067439004778862,365.903564453125,1204.1634521484375,Supplier-C,33181.4,195817.92
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.5,907.2640000000001,0.07297112792730331,428.62939453125,1392.3409423828125,Supplier-A,38826.7,151345.28
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.5,907.2640000000001,0.07297112792730331,428.62939453125,1392.3409423828125,Supplier-C,38826.7,227017.92
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.4,725.8113384375,0.11401738226413727,491.35528564453125,1580.5186767578125,Supplier-A,44472.0,171745.28
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.4,725.8113384375,0.11401738226413727,491.35528564453125,1580.5186767578125,Supplier-C,44472.0,258217.92
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.3,544.35833078125,0.20269756019115448,554.0811767578125,1768.6962890625,Supplier-A,50117.4,192745.28
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.3,544.35833078125,0.20269756019115448,554.0811767578125,1768.6962890625,Supplier-C,50117.4,289417.9
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.2,362.90566921875,0.4560695290565491,616.8070678710938,1956.8739013671875,Supplier-A,55762.7,213145.28
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.2,362.90566921875,0.4560695290565491,616.8070678710938,1956.8739013671875,Supplier-C,55762.7,320017.9
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.1,181.452834609375,1.8242781162261963,679.532958984375,2145.0517578125,Supplier-A,61408.0,234145.28
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.1,181.452834609375,1.8242781162261963,679.532958984375,2145.0517578125,Supplier-C,61408.0,351217.9
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.05,90.7264173046875,7.297112941741943,710.8958740234375,2239.140380859375,Supplier-A,64230.7,244345.28
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.05,90.7264173046875,7.297112941741943,710.8958740234375,2239.140380859375,Supplier-C,64230.7,366817.9
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.01,18.145277836914065,182.42784118652344,735.9862060546875,2314.411376953125,Supplier-A,66488.8,252745.28
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.01,18.145277836914065,182.42784118652344,735.9862060546875,2314.411376953125,Supplier-C,66488.8,379417.9
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.005,9.072638918457033,729.7113037109375,739.12255859375,2323.820556640625,Supplier-A,66771.1,253945.28
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.005,9.072638918457033,729.7113037109375,739.12255859375,2323.820556640625,Supplier-C,66771.1,380617.9
