Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
Additive ['y+'],ABSPlastic,1.0,434.17600000000004,0.9183427691459656,517.2012329101562,995.296875,Supplier-B,94925.13,99589.44
Additive ['y+'],ABSPlastic,1.0,434.17600000000004,0.9183427691459656,517.2012329101562,995.296875,Supplier-C,51720.13,149334.16
Additive ['y+'],ABSPlastic,0.9,390.758366875,1.1337565183639526,472.4811096191406,905.7672119140625,Supplier-B,90453.12,90580.5
Additive ['y+'],ABSPlastic,0.9,390.758366875,1.1337565183639526,472.4811096191406,905.7672119140625,Supplier-C,47248.12,135920.73
Additive ['y+'],ABSPlastic,0.8,347.34086625000003,1.4349104166030884,427.76104736328125,816.2376098632812,Supplier-B,85981.12,81671.56
Additive ['y+'],ABSPlastic,0.8,347.34086625000003,1.4349104166030884,427.76104736328125,816.2376098632812,Supplier-C,42776.12,122507.33
Additive ['y+'],ABSPlastic,0.7,303.92313375000003,1.8741687536239624,383.04083251953125,726.707763671875,Supplier-B,81509.08,72762.61
Additive ['y+'],ABSPlastic,0.7,303.92313375000003,1.8741687536239624,383.04083251953125,726.707763671875,Supplier-C,38304.08,109093.91
Additive ['y+'],ABSPlastic,0.6,260.505566875,2.5509517192840576,338.32073974609375,637.1781005859375,Supplier-B,33832.08,63753.66
Additive ['y+'],ABSPlastic,0.6,260.505566875,2.5509517192840576,338.32073974609375,637.1781005859375,Supplier-C,33832.08,95580.5
Additive ['y+'],ABSPlastic,0.5,217.08800000000002,3.6733710765838623,293.6006164550781,547.6484375,Supplier-B,29360.07,54844.72
Additive ['y+'],ABSPlastic,0.5,217.08800000000002,3.6733710765838623,293.6006164550781,547.6484375,Supplier-C,29360.07,82167.08
Additive ['y+'],ABSPlastic,0.4,173.67043312500002,5.7396416664123535,248.88052368164062,458.1188049316406,Supplier-B,24888.07,45835.78
Additive ['y+'],ABSPlastic,0.4,173.67043312500002,5.7396416664123535,248.88052368164062,458.1188049316406,Supplier-C,24888.07,68753.66
Additive ['y+'],ABSPlastic,0.3,130.2527834375,10.203807830810547,204.16036987304688,368.58905029296875,Supplier-B,20416.05,36926.83
Additive ['y+'],ABSPlastic,0.3,130.2527834375,10.203807830810547,204.16036987304688,368.58905029296875,Supplier-C,20416.05,55340.24
Additive ['y+'],ABSPlastic,0.2,86.83521656250001,22.95856475830078,159.4402618408203,279.0594177246094,Supplier-B,15944.03,27917.89
Additive ['y+'],ABSPlastic,0.2,86.83521656250001,22.95856475830078,159.4402618408203,279.0594177246094,Supplier-C,15944.03,41926.83
Additive ['y+'],ABSPlastic,0.1,43.417608281250004,91.83426666259766,114.72013092041016,189.5297088623047,Supplier-B,11472.02,19008.94
Additive ['y+'],ABSPlastic,0.1,43.417608281250004,91.83426666259766,114.72013092041016,189.5297088623047,Supplier-C,11472.02,28513.42
Additive ['y+'],ABSPlastic,0.05,21.708804140625002,367.3370666503906,92.36006164550781,144.7648468017578,Supplier-B,9236.02,14504.47
Additive ['y+'],ABSPlastic,0.05,21.708804140625002,367.3370666503906,92.36006164550781,144.7648468017578,Supplier-C,9236.02,21806.71
Additive ['y+'],ABSPlastic,0.01,4.3417594824218755,9183.427734375,74.47201538085938,108.95296478271484,Supplier-B,7447.22,10900.9
Additive ['y+'],ABSPlastic,0.01,4.3417594824218755,9183.427734375,74.47201538085938,108.95296478271484,Supplier-C,7447.22,16401.34
Additive ['y+'],ABSPlastic,0.005,2.1708797412109377,36733.7109375,72.23600769042969,104.47648620605469,Supplier-B,7223.62,10500.45
Additive ['y+'],ABSPlastic,0.005,2.1708797412109377,36733.7109375,72.23600769042969,104.47648620605469,Supplier-C,7223.62,15700.67
