Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,1.0,1772000.0000000005,0.044635653495788574,115.0,177470.0,Supplier-A,106.0,294
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.9,1594799.7296142583,0.055105749517679214,61370.75,361237.25,Supplier-A,55236.2,202440
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.8,1417600.1351928716,0.06974320858716965,122626.5,545004.5,Supplier-A,110366.4,404586
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.7,1240399.8648071291,0.09109318256378174,183882.25,728771.75,Supplier-A,165496.6,606726
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.6,1063200.0675964358,0.12398792058229446,245138.0,912539.0,Supplier-A,220626.7,808872
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.5,886000.0000000002,0.1785426288843155,306393.71875,1096306.125,Supplier-A,275756.9,1011018
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.4,708800.0675964358,0.2789728343486786,367649.5,1280073.5,Supplier-A,330887.1,1213158
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.3,531600.0337982179,0.49595165252685547,428905.21875,1463840.625,Supplier-A,386017.3,1415304
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.2,354400.0337982179,1.1158913373947144,490161.0,1647608.0,Supplier-A,441147.4,1617450
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.1,177200.01689910894,4.463565349578857,551416.75,1831375.25,Supplier-A,496277.6,1819590
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.05,88600.00844955447,17.854263305664062,582044.625,1923258.875,Supplier-A,523842.7,1920666
