Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
EDM ['y'],Ti6Al4V,1.0,1772000.0000000005,0.044635653495788574,55.0,177290.00000000006,Supplier-A,55.0,90
EDM ['y'],Ti6Al4V,0.9,1594799.7296142583,0.055105749517679214,3775.0080166172756,192170.03206646917,Supplier-A,3775.02,14971
EDM ['y'],Ti6Al4V,0.8,1417600.1351928716,0.06974320858716965,7495.016033234551,207050.06413293828,Supplier-A,7495.02,29851
EDM ['y'],Ti6Al4V,0.7,1240399.8648071291,0.09109318256378174,11215.02404985183,221930.0961994074,Supplier-A,11215.03,44731
EDM ['y'],Ti6Al4V,0.6,1063200.0675964358,0.12398792058229446,14935.032066469108,236810.1282658765,Supplier-A,14935.03,59611
EDM ['y'],Ti6Al4V,0.5,886000.0000000002,0.1785426288843155,18655.040083086384,251690.16033234558,Supplier-A,18655.05,74491
EDM ['y'],Ti6Al4V,0.4,708800.0675964358,0.2789728343486786,22375.048099703657,266570.1923988147,Supplier-A,22375.05,89371
EDM ['y'],Ti6Al4V,0.3,531600.0337982179,0.49595165252685547,26095.05611632093,281450.2244652838,Supplier-A,26095.07,104251
EDM ['y'],Ti6Al4V,0.2,354400.0337982179,1.1158913373947144,29815.064132938216,296330.25653175294,Supplier-A,29815.07,119131
EDM ['y'],Ti6Al4V,0.1,177200.01689910894,4.463565349578857,33535.07214955549,311210.288598222,Supplier-A,33535.08,134011
EDM ['y'],Ti6Al4V,0.05,88600.00844955447,17.854263305664062,35395.076157864125,318650.30463145656,Supplier-A,35395.08,141451
EDM ['y'],Ti6Al4V,0.01,17720.000000000007,446.3565673828125,36883.07936451104,324602.3174580442,Supplier-A,36883.08,147403
EDM ['y'],Ti6Al4V,0.005,8860.000000000004,1785.42626953125,37069.0797653419,325346.31906136766,Supplier-A,37069.08,148147
