Manufacturing Method,Material,Probe,mass,compliance,nominal time,nominal cost,Supplier,Lead Time,Cost
Additive ['y+'],Al6061,1.0,1080000.0000000002,2.9630205631256104,1112470.0,2430694.0,Supplier-A,66748200,2224900
Additive ['y+'],Al6061,1.0,1080000.0000000002,2.9630205631256104,1112470.0,2430694.0,Supplier-B,67027200,2224900
Additive ['y+'],Al6061,0.9,971999.8352050784,3.65950870513916,1001230.0,2187634.5,Supplier-A,60073784,2002420
Additive ['y+'],Al6061,0.9,971999.8352050784,3.65950870513916,1001230.0,2187634.5,Supplier-B,60352784,2002420
Additive ['y+'],Al6061,0.8,864000.0823974612,4.632098197937012,889990.0,1944575.25,Supplier-A,53399400,1779940
Additive ['y+'],Al6061,0.8,864000.0823974612,4.632098197937012,889990.0,1944575.25,Supplier-B,53678400,1779940
Additive ['y+'],Al6061,0.7,755999.9176025393,6.043056488037109,778749.9375,1701515.625,Supplier-A,46724992,1557460
Additive ['y+'],Al6061,0.7,755999.9176025393,6.043056488037109,778749.9375,1701515.625,Supplier-B,47003992,1557460
Additive ['y+'],Al6061,0.6,648000.0411987306,8.231170654296875,667510.0,1458456.375,Supplier-A,40050604,1334981
Additive ['y+'],Al6061,0.6,648000.0411987306,8.231170654296875,667510.0,1458456.375,Supplier-B,40329604,1334981
Additive ['y+'],Al6061,0.5,540000.0000000001,11.852059364318848,556270.0,1215397.0,Supplier-A,33376200,1112500
Additive ['y+'],Al6061,0.5,540000.0000000001,11.852059364318848,556270.0,1215397.0,Supplier-B,33655200,1112500
Additive ['y+'],Al6061,0.4,432000.0411987306,18.528356552124023,445030.0,972337.625,Supplier-A,26701800,890020
Additive ['y+'],Al6061,0.4,432000.0411987306,18.528356552124023,445030.0,972337.625,Supplier-B,26980800,890020
Additive ['y+'],Al6061,0.3,324000.0205993653,32.92464065551758,333790.0,729278.1875,Supplier-A,20027402,667541
Additive ['y+'],Al6061,0.3,324000.0205993653,32.92464065551758,333790.0,729278.1875,Supplier-B,20306402,667541
Additive ['y+'],Al6061,0.2,216000.0205993653,74.11367797851562,222550.0,486218.8125,Supplier-A,13353000,445060
Additive ['y+'],Al6061,0.2,216000.0205993653,74.11367797851562,222550.0,486218.8125,Supplier-B,13632000,445060
Additive ['y+'],Al6061,0.1,108000.01029968265,296.4539489746094,111310.0,243159.40625,Supplier-A,6678600,222580
Additive ['y+'],Al6061,0.1,108000.01029968265,296.4539489746094,111310.0,243159.40625,Supplier-B,6957600,222580
Additive ['y+'],Al6061,0.01,10800.000000000002,29640.91015625,11194.0,24405.939453125,Supplier-A,671640,22348
Additive ['y+'],Al6061,0.01,10800.000000000002,29640.91015625,11194.0,24405.939453125,Supplier-B,671640,22348
