Manufacturing Method,Material,Probe,mass,compliance,time,cost
Additive ['y+'],Al6061,high,1080000.0000000002,0.1664586812257766,1112470.0,2430694.0
Additive ['y+'],Al6061,low,10800.000000000002,1666.5250244140625,11194.0,24405.939453125
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,high,1080000.0000000002,0.1664576977491378,115.0,3510.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,low,10800.000000000002,1666.5185546875,61922.40234375,188932.203125
EDM ['z'],Al6061,high,1080000.0000000002,0.1664693653583526,55.0,3330.000000000001
EDM ['z'],Al6061,low,10800.000000000002,1666.5189208984375,36883.07936451104,150642.31745804416
Additive ['y+'],Ti6Al4V,high,1772000.0000000005,0.0978492647409439,1825230.0,4433413.5
Additive ['y+'],Ti6Al4V,low,17720.000000000007,978.2499389648438,18321.6015625,44433.140625
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,high,1772000.0000000005,0.0978537574410438,115.0,177470.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,low,17720.000000000007,978.2545776367188,606546.9375,1996765.75
EDM ['z'],Ti6Al4V,high,1772000.0000000005,0.0978480502963066,55.0,177290.00000000006
EDM ['z'],Ti6Al4V,low,17720.000000000007,978.2521362304688,36883.07936451104,324602.3174580442
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,high,424000.00000000006,4.812916278839111,115.0,1118.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,low,4240.000000000001,48151.16796875,65001.125,195776.375
Additive ['y+'],ABSplastic,high,424000.00000000006,4.813107490539551,436789.96875,874413.375
Additive ['y+'],ABSplastic,low,4240.000000000001,48151.1328125,4437.2001953125,8843.134765625
EDM ['z'],ABSplastic,high,424000.00000000006,4.812978267669678,55.0,938.0
EDM ['z'],ABSplastic,low,4240.000000000001,48150.921875,36883.07936451104,148250.31745804416
