Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
Additive ['y+'],ABSPlastic,1.0,19080.000000000004,0.01026563998311758,19722.3984375,39444.1015625,Supplier-B,19722.4,39444.3
Additive ['y+'],ABSPlastic,1.0,19080.000000000004,0.01026563998311758,19722.3984375,39444.1015625,Supplier-C,19722.4,59166.96
Additive ['y+'],ABSPlastic,0.9,17171.997929687503,0.012673629447817802,17757.16015625,35509.6953125,Supplier-B,17757.17,35510.38
Additive ['y+'],ABSPlastic,0.9,17171.997929687503,0.012673629447817802,17757.16015625,35509.6953125,Supplier-C,17757.17,53265.06
Additive ['y+'],ABSPlastic,0.8,15264.002070312503,0.016040058806538582,15791.9189453125,31575.28125,Supplier-B,15791.93,31575.44
Additive ['y+'],ABSPlastic,0.8,15264.002070312503,0.016040058806538582,15791.9189453125,31575.28125,Supplier-C,15791.93,47363.16
Additive ['y+'],ABSPlastic,0.7,13355.997929687503,0.020950283855199814,13826.677734375,27640.869140625,Supplier-B,13826.68,27641.51
Additive ['y+'],ABSPlastic,0.7,13355.997929687503,0.020950283855199814,13826.677734375,27640.869140625,Supplier-C,13826.68,41462.27
Additive ['y+'],ABSPlastic,0.6,11448.000000000002,0.028515659272670746,11861.439453125,23706.4609375,Supplier-B,11861.45,23706.58
Additive ['y+'],ABSPlastic,0.6,11448.000000000002,0.028515659272670746,11861.439453125,23706.4609375,Supplier-C,11861.45,35560.38
Additive ['y+'],ABSPlastic,0.5,9540.000000000002,0.04106255993247032,9896.19921875,19772.05078125,Supplier-B,9896.2,19772.65
Additive ['y+'],ABSPlastic,0.5,9540.000000000002,0.04106255993247032,9896.19921875,19772.05078125,Supplier-C,9896.2,29658.48
Additive ['y+'],ABSPlastic,0.4,7632.001035156251,0.06416023522615433,7930.95947265625,15837.640625,Supplier-B,7930.97,15837.72
Additive ['y+'],ABSPlastic,0.4,7632.001035156251,0.06416023522615433,7930.95947265625,15837.640625,Supplier-C,7930.97,23756.58
Additive ['y+'],ABSPlastic,0.3,5724.000000000001,0.11406264454126358,5965.7197265625,11903.23046875,Supplier-B,5965.73,11903.79
Additive ['y+'],ABSPlastic,0.3,5724.000000000001,0.11406264454126358,5965.7197265625,11903.23046875,Supplier-C,5965.73,17855.69
Additive ['y+'],ABSPlastic,0.2,3816.0005175781257,0.2566409409046173,4000.479736328125,7968.8203125,Supplier-B,4000.48,7968.86
Additive ['y+'],ABSPlastic,0.2,3816.0005175781257,0.2566409409046173,4000.479736328125,7968.8203125,Supplier-C,4000.48,11953.79
Additive ['y+'],ABSPlastic,0.1,1908.0002587890629,1.0265637636184692,2035.2398681640625,4034.41015625,Supplier-B,2035.25,4034.93
Additive ['y+'],ABSPlastic,0.1,1908.0002587890629,1.0265637636184692,2035.2398681640625,4034.41015625,Supplier-C,2035.25,6051.9
Additive ['y+'],ABSPlastic,0.05,954.0001293945314,4.106255531311035,1052.619873046875,2067.205078125,Supplier-B,1052.63,2067.97
Additive ['y+'],ABSPlastic,0.05,954.0001293945314,4.106255531311035,1052.619873046875,2067.205078125,Supplier-C,1052.63,3100.95
Additive ['y+'],ABSPlastic,0.01,190.80000000000004,102.6563949584961,266.5239562988281,493.4409484863281,Supplier-B,266.53,494.39
Additive ['y+'],ABSPlastic,0.01,190.80000000000004,102.6563949584961,266.5239562988281,493.4409484863281,Supplier-C,266.53,740.59
Additive ['y+'],ABSPlastic,0.005,95.40000000000002,410.6255798339844,168.26197814941406,296.7204895019531,Supplier-B,168.27,297.2
Additive ['y+'],ABSPlastic,0.005,95.40000000000002,410.6255798339844,168.26197814941406,296.7204895019531,Supplier-C,168.27,445.29
