Manufacturing Method,Material,Probe,mass,compliance,nominal time,nominal cost,Supplier,Lead Time,Cost
Additive ['y+'],Al6061,1.0,48600.00000000001,0.0003469576477073133,50127.99609375,109476.71875,Supplier-A,3007680,100216
Additive ['y+'],Al6061,1.0,48600.00000000001,0.0003469576477073133,50127.99609375,109476.71875,Supplier-B,3286680,100216
Additive ['y+'],Al6061,0.9,43739.994726562516,0.00042723119258880615,45122.19921875,98539.0546875,Supplier-A,2707332,90205
Additive ['y+'],Al6061,0.9,43739.994726562516,0.00042723119258880615,45122.19921875,98539.0546875,Supplier-B,2707332,90205
Additive ['y+'],Al6061,0.8,38880.005273437506,0.0005251961410976946,40116.3984375,87601.3828125,Supplier-A,2406985,80193
Additive ['y+'],Al6061,0.8,38880.005273437506,0.0005251961410976946,40116.3984375,87601.3828125,Supplier-B,2406985,80193
Additive ['y+'],Al6061,0.7,34019.9947265625,0.0006867018528282642,35110.59375,76663.6953125,Supplier-A,2106636,70182
Additive ['y+'],Al6061,0.7,34019.9947265625,0.0006867018528282642,35110.59375,76663.6953125,Supplier-B,2106636,70182
Additive ['y+'],Al6061,0.6,29160.000000000007,0.0009391486528329551,30104.798828125,65726.0390625,Supplier-A,1806288,60170
Additive ['y+'],Al6061,0.6,29160.000000000007,0.0009391486528329551,30104.798828125,65726.0390625,Supplier-B,1806288,60170
Additive ['y+'],Al6061,0.5,24300.000000000004,0.0013876648154109716,25098.998046875,54788.359375,Supplier-A,1505940,50158
Additive ['y+'],Al6061,0.5,24300.000000000004,0.0013876648154109716,25098.998046875,54788.359375,Supplier-B,1505940,50158
Additive ['y+'],Al6061,0.4,19440.002636718753,0.002100312849506736,20093.19921875,43850.69140625,Supplier-A,1205593,40147
Additive ['y+'],Al6061,0.4,19440.002636718753,0.002100312849506736,20093.19921875,43850.69140625,Supplier-B,1205593,40147
Additive ['y+'],Al6061,0.3,14580.000000000004,0.003757129656150937,15087.3994140625,32913.01953125,Supplier-A,905244,30135
Additive ['y+'],Al6061,0.3,14580.000000000004,0.003757129656150937,15087.3994140625,32913.01953125,Supplier-B,905244,30135
Additive ['y+'],Al6061,0.2,9720.001318359376,0.008403020910918713,10081.599609375,21975.345703125,Supplier-A,604897,20124
Additive ['y+'],Al6061,0.2,9720.001318359376,0.008403020910918713,10081.599609375,21975.345703125,Supplier-B,604897,20124
Additive ['y+'],Al6061,0.1,4860.000659179688,0.03360721841454506,5075.7998046875,11037.6728515625,Supplier-A,304549,10112
Additive ['y+'],Al6061,0.1,4860.000659179688,0.03360721841454506,5075.7998046875,11037.6728515625,Supplier-B,304549,10112
Additive ['y+'],Al6061,0.01,486.0000000000001,3.3508949279785156,570.5799560546875,1193.7672119140625,Supplier-A,34235,1102
Additive ['y+'],Al6061,0.01,486.0000000000001,3.3508949279785156,570.5799560546875,1193.7672119140625,Supplier-B,34235,1102
